DATE,LUZVIS PRICE (PHP/KWH),LUZON DEMAND (MW),VISAYAS DEMAND (MW),LUZON SUPPLY (MW),VISAYAS SUPPLY (MW),BLOCK
2022-01-01,3.3037500000000004,134903.0,20874.0,246711.49000000002,48366.479999999996,Sun / Hol
2022-01-02,3.6970833333333335,141162.0,21515.0,241051.72,47528.170000000006,Sun / Hol
2022-01-03,4.8525,169898.0,25304.0,248228.10000000003,44520.21000000001,Weekday
2022-01-04,5.819583333333334,181105.0,26728.0,244836.84000000003,50644.36999999999,Weekday
2022-01-05,12.159583333333332,185404.0,27453.0,238405.81,50449.00999999999,Weekday
2022-01-06,7.636666666666667,186201.0,29241.0,232226.08000000002,59181.26000000001,Weekday
2022-01-07,5.645,186436.0,29904.0,244618.05,56665.61,Weekday
2022-01-08,10.289166666666667,182213.0,29425.0,224572.78,55124.08999999999,Sat
2022-01-09,10.359166666666667,173635.0,28876.0,216811.95,58658.51000000001,Sun / Hol
2022-01-10,5.760416666666667,193234.0,32458.0,221431.85,59059.31999999999,Weekday
2022-01-11,9.427916666666667,191733.0,33335.0,228285.83000000002,58081.630000000005,Weekday
2022-01-12,8.340416666666666,187103.0,33126.0,239696.27000000002,54555.27,Weekday
2022-01-13,9.172916666666667,183784.0,32575.0,232290.6,52710.649999999994,Weekday
2022-01-14,6.148333333333333,179016.0,31453.0,229708.45,53057.299999999996,Weekday
2022-01-15,6.7629166666666665,168476.0,30391.0,224546.33000000002,51547.52999999999,Sat
2022-01-16,6.16375,158030.0,29358.0,219770.45,51000.98999999999,Sun / Hol
2022-01-17,8.352916666666667,174251.0,32398.0,227121.35,48938.44,Weekday
2022-01-18,6.065416666666667,177402.0,33138.0,232634.94000000003,52993.04,Weekday
2022-01-19,6.275833333333334,182450.0,34006.0,240820.82,53151.56,Weekday
2022-01-20,9.175,184536.0,34607.0,238962.98,52189.3,Weekday
2022-01-21,11.126249999999999,188202.0,34656.0,224657.06999999995,52202.939999999995,Weekday
2022-01-22,6.539583333333333,184225.0,34138.0,227286.17999999996,51533.28000000001,Sat
2022-01-23,9.1775,175349.0,32363.0,208089.84000000003,50212.92999999999,Sun / Hol
2022-01-24,11.2575,194303.0,34474.0,234414.44999999998,50463.119999999995,Weekday
2022-01-25,6.107916666666667,197470.0,33927.0,246045.71,51618.48,Weekday
2022-01-26,8.209166666666667,196751.0,34566.0,241985.87000000005,51682.729999999996,Weekday
2022-01-27,12.780416666666667,204097.0,37666.0,239198.12,51510.59999999999,Weekday
2022-01-28,6.232083333333333,206814.0,37782.0,226354.48,52579.780000000006,Weekday
2022-01-29,7.770833333333333,198110.0,36348.0,231273.0599999999,52684.21,Sat
2022-01-30,6.9366666666666665,183689.0,34579.0,236646.03000000003,52788.44000000002,Sun / Hol
2022-01-31,4.323333333333333,193709.0,37628.0,259879.42999999996,55772.21,Weekday
2022-02-01,3.3370833333333336,182795.0,36540.0,263547.62999999995,57185.57000000001,Sun / Hol
2022-02-02,4.865,192343.0,37429.0,262948.03,53845.169999999984,Weekday
2022-02-03,4.104583333333333,194217.0,38507.0,267464.78,58096.979999999996,Weekday
2022-02-04,3.41,196002.0,37143.0,273332.8900000001,58565.64,Weekday
2022-02-05,3.7379166666666666,186715.0,36032.0,258530.42,58728.579999999994,Sat
2022-02-06,3.2458333333333336,173809.0,33433.0,248317.87999999995,58877.549999999996,Sun / Hol
2022-02-07,5.4675,195186.0,37382.0,248666.46,58366.03,Weekday
2022-02-08,5.5575,204141.0,38323.0,249459.47000000003,58045.97,Weekday
2022-02-09,9.362916666666665,203760.0,37679.0,248393.16999999998,57854.53,Weekday
2022-02-10,5.5275,202781.0,37587.0,248777.34000000003,57243.340000000004,Weekday
2022-02-11,7.4775,202425.0,37928.0,248683.19000000003,56866.11,Weekday
2022-02-12,4.252916666666667,191465.0,36245.0,256577.87999999998,54014.81,Sat
2022-02-13,3.892916666666667,182109.0,33779.0,251753.99,54617.270000000004,Sun / Hol
2022-02-14,5.6312500000000005,202789.0,38107.0,253396.95,55207.54,Weekday
2022-02-15,4.022916666666666,207314.0,38779.0,268224.9799999999,56252.53999999999,Weekday
2022-02-16,4.474166666666666,205383.0,39008.0,267484.25999999995,56165.259999999995,Weekday
2022-02-17,6.8429166666666665,205082.0,39023.0,256339.01999999993,52523.73,Weekday
2022-02-18,10.834166666666667,207170.0,38505.0,250169.13000000003,51219.28999999999,Weekday
2022-02-19,6.422083333333333,198960.0,36936.0,249294.52000000002,49551.11,Sat
2022-02-20,6.5254166666666675,186416.0,35328.0,246655.06,49533.80999999999,Sun / Hol
2022-02-21,5.235833333333333,205368.0,38336.0,267748.04000000004,50525.73999999999,Weekday
2022-02-22,5.24125,205241.0,38394.0,271270.18,50950.22,Weekday
2022-02-23,5.8187500000000005,202570.0,37469.0,273050.93999999994,51616.500000000015,Weekday
2022-02-24,7.399166666666667,204854.0,38469.0,251382.81999999998,51246.24,Weekday
2022-02-25,5.4558333333333335,193706.0,37078.0,247745.74,51113.17999999999,Sun / Hol
2022-02-26,7.940833333333334,190173.0,36134.0,240466.49000000005,51998.00000000001,Sat
2022-02-27,5.920000000000001,179352.0,35017.0,243849.73000000004,52320.52999999999,Sun / Hol
2022-02-28,4.164166666666667,203074.0,36863.0,269059.2,52363.02000000002,Weekday
2022-03-01,4.425833333333333,207029.0,38763.0,277088.05,52964.270000000004,Weekday
2022-03-02,5.809583333333333,210772.0,39483.0,270766.09,50954.840000000004,Weekday
2022-03-03,5.927083333333333,214535.0,39153.0,271549.1,54180.31,Weekday
2022-03-04,7.0304166666666665,215144.0,39327.0,262494.55,54866.060000000005,Weekday
2022-03-05,4.470833333333333,204868.0,37789.0,264193.98,55875.85999999999,Sat
2022-03-06,3.875833333333333,191457.0,34089.0,268908.5599999999,58581.65,Sun / Hol
2022-03-07,4.435,210301.0,36922.0,275172.52999999997,58680.14,Weekday
2022-03-08,4.262083333333334,215639.0,38760.0,284365.76999999996,60203.39,Weekday
2022-03-09,3.8991666666666664,211066.0,38534.0,273190.18,61181.93,Weekday
2022-03-10,5.453749999999999,212159.0,38060.0,268845.52,56557.3,Weekday
2022-03-11,7.687083333333334,217689.0,38607.0,266870.37000000005,55803.28999999999,Weekday
2022-03-12,5.909166666666667,212633.0,38217.0,267466.07,55805.78,Sat
2022-03-13,5.102083333333334,194003.0,36208.0,260320.31,55337.15999999999,Sun / Hol
2022-03-14,10.738750000000001,218059.0,40820.0,265827.55000000005,54205.32000000001,Weekday
2022-03-15,8.568333333333333,225423.0,40951.0,268702.86,55210.729999999996,Weekday
2022-03-16,8.072916666666666,227216.0,41463.0,260341.79000000004,55743.83999999999,Weekday
2022-03-17,8.65375,230863.0,42382.0,269229.83,55710.42000000001,Weekday
2022-03-18,10.0325,230741.0,42312.0,270578.70999999996,55509.130000000005,Weekday
2022-03-19,5.404583333333334,216383.0,40944.0,271700.76,53887.25,Sat
2022-03-20,5.1812499999999995,203100.0,37647.0,275703.64,52083.159999999996,Sun / Hol
2022-03-21,7.19125,227294.0,40463.0,278858.05,53097.57,Weekday
2022-03-22,9.821666666666667,234840.0,39762.0,279619.47,53077.80999999999,Weekday
2022-03-23,8.429166666666667,238420.0,41486.0,285909.31,52850.39,Weekday
2022-03-24,7.412916666666667,236145.0,42619.0,293841.38,51840.280000000006,Weekday
2022-03-25,10.878333333333332,233260.0,42566.0,283337.0800000001,49991.00000000001,Weekday
2022-03-26,8.866666666666667,223916.0,40091.0,257588.55,50331.59,Sat
2022-03-27,6.447083333333333,208860.0,36752.0,281158.97000000003,48727.81999999999,Sun / Hol
2022-03-28,7.042916666666667,229605.0,39607.0,299187.55,46749.22000000001,Weekday
2022-03-29,6.891666666666667,234717.0,42755.0,291523.27999999997,49095.380000000005,Weekday
2022-03-30,6.400833333333334,234866.0,43279.0,286187.35,50933.39,Weekday
2022-03-31,7.355,236416.0,42680.0,287192.22000000003,50023.240000000005,Weekday
2022-04-01,5.649583333333333,231773.0,42853.0,289612.25000000006,53836.80999999999,Weekday
2022-04-02,3.1320833333333336,212717.0,39795.0,292055.80999999994,55054.46,Sat
2022-04-03,3.7891666666666666,195566.0,36521.0,275616.69,54639.95999999999,Sun / Hol
2022-04-04,3.3425,217067.0,41088.0,297218.8300000001,56588.97,Weekday
2022-04-05,3.84,208043.0,40568.0,302582.91000000003,54855.469999999994,Weekday
