DATE,LUZVIS PRICE (PHP/KWH),LUZON DEMAND (MW),VISAYAS DEMAND (MW),LUZON SUPPLY (MW),VISAYAS SUPPLY (MW)
01-01,-3.6054131456055076,-56794.33667055726,-7931.211320784813,4828.47309793319,-2690.725920874076
01-02,-2.0557835300260727,-42610.4008693204,-4947.497728766035,7450.190018235699,-1909.2213431445875
01-03,-1.332866482841903,-22137.95749032499,-1858.5232995422934,9332.998894948027,-2353.772776934542
01-04,-1.0431008816242469,-16899.597672973385,-1465.4689616427497,6684.796913212872,-3482.608539491617
01-05,-0.7763215817764537,-13581.86068667201,-1105.968961642749,3630.7255113863976,-2683.4010874368187
01-06,-0.721092319980411,-10918.305435530465,-792.2506968025647,1669.2519497425465,-2480.8978773911567
01-07,-0.6504486746227245,-10524.482147859231,-953.933345204391,-2459.5217854172915,-1865.7406353820247
01-08,-0.4454170824250829,-10313.374596292122,-1074.0578464063726,-4227.2348229985755,-1904.453301790432
01-09,-0.9043280342034183,-10829.599753325441,-1355.4421602975772,-675.2391381772219,-2357.00851905112
01-10,-0.6382243088780357,-11139.441740104348,-1387.4452608815436,2414.8678617126384,-1811.3801472707105
01-11,-0.6926967414130575,-12373.027366804976,-1455.3626471797957,800.5396443813723,-2221.680045549008
01-12,1.1575568534491807,-14013.005948495807,-1685.95752858568,-3838.9685807776905,-2164.709117995607
01-13,0.047161720327075,-16182.701164237536,-1760.4412553927402,-9609.614250163762,-2264.956049542011
01-14,-0.1388451218622195,-15619.609295830523,-1566.0936710451983,-10966.334119158426,-2237.5604018320505
01-15,-0.1524242080175936,-13691.425450906903,-1589.903425249514,-7586.685385413381,-2450.49336468961
01-16,-0.6427819960646832,-12667.82947291086,-2130.4145493168458,-4800.382855190854,-2587.8984645334667
01-17,-0.4167263790237101,-13843.956391196622,-1998.643872992788,-3567.274254518212,-2372.0513725964997
01-18,-0.5791485832482297,-13484.143583454983,-1600.5338620307652,-4722.716565782936,-1697.5097679393812
01-19,0.33487963653246905,-12035.292028159532,-1825.5197414797017,-6906.121037517341,-2639.9118032039846
01-20,0.7402910917991438,-11705.694875995203,-1785.1111003806911,-9603.82141531828,-2744.2964059832602
01-21,0.25866503891187126,-11434.784612284879,-1427.4312264049702,-11068.984000555622,-2963.1126056314247
01-22,-0.3843254953844029,-10472.63286129471,-1158.3642682805219,-8221.980758004314,-2345.4045743598235
01-23,-0.26166077853912467,-10506.652538875967,-1113.3250988057798,-6676.801570247526,-2124.865047980586
01-24,-0.3250055202717983,-12565.983762445483,-1000.1814283525633,-6611.192676032814,-2484.390664458496
01-25,0.0037500315376029145,-14068.883283470972,-1114.7089907760578,-7303.1264471801405,-2252.873588177111
01-26,0.17204716847420531,-12026.084174359472,-1089.6009367611969,-6476.985400323544,-2105.8669737352557
